BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Liolaemus sarmientoi,F,Liolaemidae,2,2,5.84,NA,74.91,15.11,10.399999999999999,7.84,15.959999999999999,Neotropic,Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Liolaemus tenuis,F,Liolaemidae,3,3,4.04,NA,54.63999999999999,12.64,7.56,5.01,12.479999999999999,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Liolaemus xanthoviridis,F,Liolaemidae,2,2,10.91,NA,86.53,17.33,11.42,8.35,17.14,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus zullyae,F,Liolaemidae,3,3,5.470000000000001,NA,69.62,14.809999999999999,9.86,7.2700000000000005,15.59,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Ouroborus cataphractus,F,Cordylidae,20,20,41.74245423537235,NA,100.92349607470742,27.325036361232474,25.08727242920997,13.054164078649988,26.853174128647467,Afrotropic,Saxicolous,Carnivorous,NA,NA,NA
Podarcis liolepis,F,Lacertidae,9,9,2.666666666666667,NA,59,13,7.1,5.466666666666667,NA,Paleartic,Saxicolous,Omnivorous,Omnivorous,NA,NA
Podarcis erhardii,F,Lacertidae,160,160,5.642302494707577,4.799611746295304,61.80425837348206,13.154258373482058,8.241387011977736,6.4690153037326095,10.597988969693619,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Podarcis hispanicus,F,Lacertidae,17,17,2.2212678125181666,NA,54.527606875108994,12.245521375021799,7.121267812518166,4.997014250014534,NA,Paleartic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,42.8
Podarcis lilfordi,F,Lacertidae,14,14,6.400891862868637,NA,61.501783725737276,15.193987366103666,8.71380899352994,6.660356745147455,NA,Paleartic,Terrestrial,Omnivorous,Omnivorous,Omnivorous,61.8
Podarcis melisellensis,F,Lacertidae,13,13,2.483205029433784,NA,51.965640235470275,11.610940039245046,6.083205029433785,4.783205029433785,12.938675049056307,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
