Citation,BinomialStudy,BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten,BinominalMieri,Notes
"Simon, et al., 2019",Tropidurus semitaeniatus,Tropidurus semitaeniatus,Neotropic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,22.41,,
"Schaerlaeken, et al., 2012",Tupinambis merianae,Salvator merianae,Neotropic,Terrestrial,Omnivorous,,,,,
"McBrayer & White, 2002",Tupinambis teguixin,Tupinambis teguixin,Neotropic,Terrestrial,Omnivorous,Omnivorous,,,,
"Guilloux, et al., 2020",Typhlosaurus caecus,Typhlosaurus caecus,Afrotropic,Fossorial,Carnivorous,,,,,
"Guilloux, et al., 2020",Typhlosaurus lomiae,Typhlosaurus lomiae,Afrotropic,Fossorial,Carnivorous,,,,,
"Guilloux, et al., 2020",Typhlosaurus vermis,Typhlosaurus vermis,Afrotropic,Fossorial,Carnivorous,,,,,
"Meyers, et al., 2018",Uma notata,Uma notata,Neartic,Terrestrial,Omnivorous,,,,,
"Herrel, 2007",Uromastix acanthinurus,Uromastix acanthinura,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,NA,Uromastyx acanthinura,
"Herrel, et al., 2014",Uromastyx aegyptia,Uromastyx aegyptia,Paleartic,Terrestrial,Herbivorous,Herbivorous,,100,,
"Irschick and Meyers, 2007",Urosaurus ornatus,Urosaurus ornatus,Neartic,Arboreal/Saxicolous,Carnivorous,,,,,
"Meyers & Irschick, 2015",Uta stansburiana,Uta stansburiana,Neartic,Terrestrial/Saxicolous,Carnivorous,,,,,
"Herrel, 2007",Varanus exanthematicus,Varanus exanthematicus,Afrotropic,Arboreal/Terrestrial,Carnivorous,Carnivorous,,,,
"D'Amore,  et al., 2011",Varanus komodoensis,Varanus komodoensis,Oceania,Terrestrial,Carnivorous,,,,,
"Herrel et al., 2001",Xenosaurus grandis,Xenosaurus grandis,Neotropic,Saxicolous,Carnivorous,Carnivorous,,,,
"Herrel et al., 2001",Xenosaurus newmanorum,Xenosaurus newmanorum,Neotropic,Saxicolous,Omnivorous,,,,,
"Herrel et al., 2001",Xenosaurus platyceps,Xenosaurus platyceps,Neotropic,Saxicolous,Carnivorous,,,,,
