BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Liolaemus hatcheri,M,Liolaemidae,7,7,4.2,NA,60.31,13.120000000000001,9.43,5.8999999999999995,13.379999999999999,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus kingii,M,Liolaemidae,3,3,9.86,NA,76.19,15.88,11.06,7.949999999999999,16.380000000000003,Neotropic,Terrestrial,Herbivorous,NA,NA,NA
Liolaemus kolengh,M,Liolaemidae,7,7,2.88,NA,56.79,12.29,9.1,5.61,12.9,Neotropic,Terrestrial/Leaf Litter,Omnivorous,NA,NA,NA
Liolaemus kriegi,M,Liolaemidae,3,3,9.11,NA,80.75,17.2,12.8,8.42,17.64,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus mapuche,M,Liolaemidae,11,11,11.35,NA,80.38,16.72,11.83,8.809999999999999,17.45,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus morenoi,F,Liolaemidae,7,7,9.45,NA,70.32000000000001,14.42,10.08,7.109999999999999,14.72,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus petrophilus,M,Liolaemidae,2,2,10.53,NA,94.39,21.34,14.040000000000001,8.34,22.99,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus rothi,M,Liolaemidae,3,3,6.42,NA,84.22999999999999,17.18,13.07,8.82,18.830000000000002,Neotropic,Terrestrial/Saxicolous,Carnivorous,NA,NA,NA
Liolaemus sarmientoi,M,Liolaemidae,4,4,8.13,NA,76.36,16.19,11.18,8.459999999999999,17.19,Neotropic,Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Liolaemus tenuis,M,Liolaemidae,4,4,5.56,NA,55.19,13.450000000000001,8.969999999999999,5.6499999999999995,14,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Liolaemus xanthoviridis,M,Liolaemidae,5,5,13.02,NA,86.17,17.38,11.91,8.42,17.88,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus zullyae,M,Liolaemidae,5,5,8.64,NA,71.23,16.43,10.95,8.03,16.98,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Mochlus sundevallii,unknown,Scincidae,10,10,14.369669090808605,11.901291867410288,89.61038022239791,13.158946638440412,8.170153037326099,6.576311041560038,13.364161584178559,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Ouroborus cataphractus,M,Cordylidae,19,19,61.07040588983329,NA,106.41108271790078,29.463124275563835,28.003419782418533,14.214180003144799,28.963476184757493,Afrotropic,Saxicolous,Carnivorous,NA,NA,NA
Podarcis liolepis,M,Lacertidae,6,6,8.371547606649408,NA,64.2715476066494,16.163299316185544,9.22247448713916,7.404124145231932,NA,Paleartic,Saxicolous,Omnivorous,Omnivorous,NA,NA
Podarcis erhardii,M,Lacertidae,187,187,10.74621882360385,6.709690863619069,64.01004167721912,15.16409632877462,9.981664697564458,7.591189069688899,12.400439966653984,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
